#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	R10_S209_L002_R1_001.fastqd_metagenome	R11_S210_L002_R1_001.fastqd_metagenome	R12_S211_L002_R1_001.fastqd_metagenome	R13_S212_L002_R1_001.fastqd_metagenome	R14_S213_L002_R1_001.fastqd_metagenome	R15_S214_L002_R1_001.fastqd_metagenome	R16_S215_L002_R1_001.fastqd_metagenome	R17_S216_L002_R1_001.fastqd_metagenome	R18_S217_L002_R1_001.fastqd_metagenome	R19_S218_L002_R1_001.fastqd_metagenome	R1_S200_L002_R1_001.fastqd_metagenome	R20_S219_L002_R1_001.fastqd_metagenome	R21_S220_L002_R1_001.fastqd_metagenome	R22_S221_L002_R1_001.fastqd_metagenome	R2_S201_L002_R1_001.fastqd_metagenome	R3_S202_L002_R1_001.fastqd_metagenome	R4_S203_L002_R1_001.fastqd_metagenome	R5_S204_L002_R1_001.fastqd_metagenome	R6_S205_L002_R1_001.fastqd_metagenome	R7_S206_L002_R1_001.fastqd_metagenome	R8_S207_L002_R1_001.fastqd_metagenome	R9_S208_L002_R1_001.fastqd_metagenome
k__Bacteria|p__Firmicutes|c__CFGB10340	0.00159	0.10559	0.0	0.03079	0.07975	0.14439	0.1013	0.04048	0.03019	0.08598	0.08865	0.00178	0.02043	0.03553	0.02394	0.25338	0.02183	0.04608	0.07069	0.05428	0.06684	0.21316
k__Bacteria|p__Firmicutes|c__CFGB9516	0.00015	0.0	0.0	0.0	0.0	0.00472	0.00074	0.00045	0.0	0.0	0.00225	0.0	0.0	0.0	0.03964	0.00597	0.0	0.022	0.02129	4e-05	0.0039	0.00347
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	32.88862	8.83388	19.32614	12.98128	14.9523	7.06704	18.43841	17.4613	32.23004	3.27236	5.46724	4.44136	9.14971	5.92963	31.6291	4.64062	7.38768	10.99998	13.70256	0.68047	15.22292	3.4663
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	28.00371	58.62353	28.90016	50.24562	3.64554	50.9112	49.90302	52.86187	37.24902	22.00102	47.51413	14.73862	8.10201	26.99336	43.31918	47.36501	70.83784	46.61702	51.98921	32.94166	40.16074	70.75155
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	5.95508	9.93859	33.90273	20.54908	74.34731	24.17	7.6644	9.35031	4.86614	54.79957	26.91477	76.01039	69.304	36.9658	5.77474	28.52995	5.77208	15.69542	5.80294	56.03584	16.58667	6.13749
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	5.83779	0.11422	0.25901	0.61155	0.00806	0.03996	1.35008	0.59974	0.23708	0.03101	0.05447	0.00175	0.18972	5.36632	1.60222	0.0616	0.00213	0.37349	1.87337	0.16119	1.68193	0.83085
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	4.93875	2.65004	1.71171	1.61478	0.6732	1.10275	4.17088	2.53078	3.47141	0.7942	1.28573	0.9246	2.5459	1.18227	3.35582	1.78687	1.93648	3.79296	1.40802	0.32767	3.89428	1.48526
k__Bacteria|p__Bacteroidetes|c__CFGB4425|o__OFGB4425	3.01404	6.40636	1.26347	2.7723	0.3434	4.09323	3.74286	2.27261	1.63273	2.03094	5.91151	0.20328	0.23963	1.76498	4.72475	5.49262	5.2662	7.59144	7.62141	2.31468	8.94916	6.99285
k__Bacteria|p__Firmicutes|c__CFGB10348|o__OFGB10348	2.36757	0.06274	0.69679	0.17671	0.00156	0.07947	0.06482	0.44081	1.54259	0.0045	0.0555	0.00502	0.01776	0.04683	0.67038	0.0473	0.02591	0.20139	0.34808	0.0021	1.02382	0.05743
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales	1.7249	0.0	0.01955	0.55478	0.1573	0.99535	0.5164	0.23678	0.35361	0.10037	0.0	0.08903	1.32941	13.75728	0.0	0.0	0.0	0.0	0.00399	0.07211	1.2729	0.32818
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.85894	0.0	0.65226	0.09999	0.11832	0.0178	0.17063	0.14303	0.21757	8e-05	0.00992	0.03426	0.4065	0.0294	0.01371	0.02307	0.00735	0.01097	0.03805	0.00099	0.25123	0.02148
